Set Name,Region Name,Chunk IDs,Pack_Icon
Humble Beginnings,Lumbridge,12593;12594;12595;12849;12850;12851,Humble_Beginnings.png
Mages of the Shore,Draynor,12337;12338;12339;12340,Mages_of_the_Shore.png
Jewel of Misthalin,Varrock,12596;12597;12598;12852;12853;12854;13108;13109;13110,Jewel_of_Misthalin.png
Knights of Saradomin,Falador,11571;11572;11827;11828;12083;12084,Knights_of_Saradomin.png
Emir's Dominion,Al Kharid,13105;13106;13107 13361;13362;13363;13617,Emir's_Dominion.png
Ports and POHs,Falador Outskirts,11570;11824;11825;11826;12081;12082,Ports_and_POHs.png
Shifting Sands,North Kharidian Desert,"12590;12591;12846;12847;12848;13102;13103;13104;13358;13359;13360;13614;13615;13616,
13870;13871;13872;14126,",Shifting_Sands.png
Shadows over Hallowvale,Morytania East,"14132;14385;14386;14387;14388;14641;14642;14643;14644;14898;14899;14900,
14901",Shadows_over_Hallowvale.png
Creatures of the Night,Morytania North,13366;13622;13623;13624;13878;13879;14134;14135;14390;14391;14646;14647,Creatures_of_the_Night.png
Light of Saradomin,Entrana,11060;11316,Light_of_Saradomin.png
Fallen Empires,Ice Mountain + Edgeville + Barbarian Village,11829;11830;12085;12086;12341;12342,Fallen_Empires.png
Ruins of Senntisten,Digsite + Silvarea,13364;13365;13366,Ruins_of_Senntisten.png
Echoes of the Past,South Wilderness,"11831;11832;12087;12088;12343;12344;12599;12600;12855;12856;13111;13112,
13367;13368",Echoes_of_the_Past.png
Scars of Forinthry,Central Wilderness,"11833;11834;11835;12089;12090;12091;12345;12346;12347;12601;12602;12603,
12857;12858;12859;13113;13114;13115;13369;13370;13771",Scars_of_Forinthry.png
The World Weeps,North Wilderness,"11836;11837;12092;12093;12348;12349;12604;12605;12860;12861;13116;13117,
13372;13373",The_World_Weeps.png
Ritual of Balance,Taverley,11573;11574,Ritual_of_Balance.png
The Concealed King,Burthorpe + Death Plateau,11063;11319;11320;11575;11576,
Keystone of the Ardent,Karamja North,10801;10802;11057;11058;11313;11569,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Silence on the Moor,,,
The Murmuring Woods,Isafdar,,
