Name,Rarity,Type,Description,Card Id,Pack Name,Set Number,PacksAwarded
3rd age amulet,Legendary,Item,,1,,,0
3rd age axe,Legendary,Item,,2,,,0
3rd age bow,Legendary,Item,,3,,,0
3rd age cloak,Legendary,Item,,4,,,0
3rd age druidic cloak,Legendary,Item,,5,,,0
3rd age druidic robe bottoms,Legendary,Item,,6,,,0
3rd age druidic robe top,Legendary,Item,,7,,,0
3rd age druidic staff,Legendary,Item,,8,,,0
3rd age felling axe,Legendary,Item,,9,,,0
3rd age full helmet,Legendary,Item,,10,,,0
3rd age kiteshield,Legendary,Item,,11,,,0
3rd age longsword,Legendary,Item,,12,,,0
3rd age mage hat,Legendary,Item,,13,,,0
3rd age pickaxe,Legendary,Item,,14,,,0
3rd age platebody,Legendary,Item,,15,,,0
3rd age platelegs,Legendary,Item,,16,,,0
3rd age plateskirt,Legendary,Item,,17,,,0
3rd age range coif,Legendary,Item,,18,,,0
3rd age range legs,Legendary,Item,,19,,,0
3rd age range top,Legendary,Item,,20,,,0
3rd age robe,Legendary,Item,,21,,,0
3rd age robe top,Legendary,Item,,22,,,0
3rd age vambraces,Legendary,Item,,23,,,0
3rd age wand,Legendary,Item,,24,,,0
A powdered wig,Common,Item,,25,,,0
Abyssal ashes,Rare,Item,,26,,,0
Abyssal bludgeon,Mythic,Item,,27,,,0
Abyssal bracelet,Rare,Item,,28,,,0
Abyssal dagger,Mythic,Item,,29,,,0
Abyssal whip,Mythic,Item,,30,,,0
Accursed sceptre,Legendary,Item,,31,,,0
Accursed sceptre (a),Legendary,Item,,32,,,0
Achey tree logs,Common,Item,,33,,,0
Acorn,Uncommon,Item,,34,,,0
Adamant 2h sword,Rare,Item,,35,,,0
Adamant arrow,Rare,Item,,36,Jewel of Misthalin,JoM-1,0
Adamant arrow pack,Rare,Item,,37,,,0
Adamant arrowtips,Rare,Item,,38,,,0
Adamant axe,Rare,Item,,39,,,0
Adamant axe head,Rare,Item,,40,,,0
Adamant battleaxe,Rare,Item,,41,,,0
Adamant bolts,Rare,Item,,42,,,0
Adamant bolts(unf),Rare,Item,,43,,,0
Adamant boots,Rare,Item,,44,,,0
Adamant brutal,Rare,Item,,45,,,0
Adamant cane,Rare,Item,,46,,,0
Adamant cannonball,Rare,Item,,47,,,0
Adamant chainbody,Rare,Item,,48,Knights of Saradomin,KS-1,0
Adamant claws,Rare,Item,,49,The Concealed King,TCK-1,0
Adamant crossbow,Rare,Item,,50,Jewel of Misthalin,,0
Adamant crossbow (u),Rare,Item,,51,Jewel of Misthalin,,0
Adamant dagger,Rare,Item,,52,Jewel of Misthalin,,0
Adamant dart,Rare,Item,,53,,,0
Adamant dart tip,Rare,Item,,54,,,0
Adamant dragon mask,Rare,Item,,55,,,0
Adamant felling axe,Rare,Item,,56,,,0
Adamant fire arrow,Rare,Item,,57,,,0
Adamant full helm,Rare,Item,,58,Fallen Empires,FE-1,0
Adamant full helm (g),Rare,Item,,59,,,0
Adamant full helm (t),Rare,Item,,60,,,0
Adamant halberd,Rare,Item,,61,,,0
Adamant hasta,Rare,Item,,62,,,0
Adamant helm (h1),Rare,Item,,63,,,0
Adamant helm (h2),Rare,Item,,64,,,0
Adamant helm (h3),Rare,Item,,65,,,0
Adamant helm (h4),Rare,Item,,66,,,0
Adamant helm (h5),Rare,Item,,67,,,0
Adamant javelin,Rare,Item,,68,Knights of Saradomin,,0
Adamant javelin tips,Rare,Item,,69,,,0
Adamant keel parts,Rare,Item,,70,,,0
Adamant kiteshield,Rare,Item,,71,Jewel of Misthalin,,0
Adamant kiteshield (g),Rare,Item,,72,,,0
Adamant kiteshield (t),Rare,Item,,73,,,0
Adamant knife,Rare,Item,,74,,,0
Adamant longsword,Rare,Item,,75,Jewel of Misthalin,,0
Adamant mace,Rare,Item,,76,Knights of Saradomin,,0
Adamant med helm,Rare,Item,,77,Fallen Empires,,0
Adamant pick head,Rare,Item,,78,,,0
Adamant pickaxe,Rare,Item,,79,,,0
Adamant platebody,Rare,Item,,80,Jewel of Misthalin,,0
Adamant platebody (g),Rare,Item,,81,,,0
Adamant platebody (h1),Rare,Item,,82,,,0
Adamant platebody (h2),Rare,Item,,83,,,0
Adamant platebody (h3),Rare,Item,,84,,,0
Adamant platebody (h4),Rare,Item,,85,,,0
Adamant platebody (h5),Rare,Item,,86,,,0
Adamant platebody (t),Rare,Item,,87,,,0
Adamant platelegs,Rare,Item,,88,Emir’s Dominion,,0
Adamant platelegs (g),Rare,Item,,89,,,0
Adamant platelegs (t),Rare,Item,,90,,,0
Adamant plateskirt,Rare,Item,,91,Emir’s Dominion,,0
Adamant plateskirt (g),Rare,Item,,92,,,0
Adamant plateskirt (t),Rare,Item,,93,,,0
Adamant scimitar,Rare,Item,,94,,,0
Adamant seeds,Rare,Item,,95,,,0
Adamant shield (h1),Rare,Item,,96,,,0
Adamant shield (h2),Rare,Item,,97,,,0
Adamant shield (h3),Rare,Item,,98,,,0
Adamant shield (h4),Rare,Item,,99,,,0
Adamant shield (h5),Rare,Item,,100,,,0
Adamant spear,Rare,Item,,101,,,0
Adamant sq shield,Rare,Item,,102,,,0
Adamant sword,Rare,Item,,103,Jewel of Misthalin,,0
Adamant thrownaxe,Rare,Item,,104,,,0
Adamant warhammer,Rare,Item,,105,,,0
Adamantite bar,Rare,Item,,106,,,0
Adamantite limbs,Rare,Item,,107,Jewel of Misthalin,,0
Adamantite nails,Rare,Item,,108,,,0
Adamantite ore,Rare,Item,,109,,,0
Admiral pie,Uncommon,Item,,110,,,0
Aether catalyst,Mythic,Item,,111,,,0
Aether rune,Mythic,Item,,112,,,0
Afro,Common,Item,,113,,,0
Agility mix,Uncommon,Item,,114,,,0
Agility potion,Uncommon,Item,,115,,,0
Ahrim's hood,Mythic,Item,,116,,,0
Ahrim's robeskirt,Mythic,Item,,117,,,0
Ahrim's robetop,Mythic,Item,,118,,,0
Ahrim's staff,Mythic,Item,,119,,,0
Air battlestaff,Common,Item,,120,Mages of the Shore,,0
Air orb,Common,Item,,121,,,0
Air rune,Common,Item,,122,Humble Beginnings,HB-1,0
Air rune pack,Common,Item,,123,Jewel of Misthalin,,0
Air talisman,Common,Item,,124,Humble Beginnings,HB-2,0
Air tiara,Common,Item,,125,,,0
Airtight pot,Common,Item,,126,,,0
Aldarium,Rare,Item,,127,,,0
Ale of the gods,Common,Item,,128,,,0
Ale yeast,Common,Item,,129,,,0
Ambrosia,Mythic,Item,,130,,,0
Amethyst,Mythic,Item,,131,,,0
Amethyst arrow,Mythic,Item,,132,,,0
Amethyst arrowtips,Mythic,Item,,133,,,0
Amethyst bolt tips,Mythic,Item,,134,,,0
Amethyst broad bolts,Mythic,Item,,135,,,0
Amethyst dart,Mythic,Item,,136,,,0
Amethyst dart tip,Mythic,Item,,137,,,0
Amethyst fire arrow,Mythic,Item,,138,,,0
Amethyst javelin,Mythic,Item,,139,,,0
Amethyst javelin tips,Mythic,Item,,140,,,0
Amulet mould,Common,Item,,141,Emir’s Dominion,,0
Amulet of accuracy,Common,Item,,142,Mages of the Shore,,0
Amulet of avarice,Mythic,Item,,143,,,0
Amulet of bounty,Common,Item,,144,,,0
Amulet of chemistry,Uncommon,Item,,145,,,0
Amulet of defence,Common,Item,,146,,,0
Amulet of defence (t),Common,Item,,147,,,0
Amulet of eternal glory,Legendary,Item,,148,,,0
Amulet of fury,Mythic,Item,,149,,,0
Amulet of glory,Rare,Item,,150,,,0
Amulet of glory (t),Rare,Item,,151,,,0
Amulet of magic,Common,Item,,152,,,0
Amulet of magic (t),Common,Item,,153,,,0
Amulet of power,Uncommon,Item,,154,,,0
Amulet of power (t),Uncommon,Item,,155,,,0
Amulet of rancour,Legendary,Item,,156,,,0
Amulet of strength,Common,Item,,157,Knights of Saradomin,,0
Amulet of the damned,Rare,Item,,158,,,0
Amulet of torture,Legendary,Item,,159,,,0
Amylase crystal,Rare,Item,,160,,,0
Ancestral hat,Legendary,Item,,161,,,0
Ancestral robe bottom,Legendary,Item,,162,,,0
Ancestral robe top,Legendary,Item,,163,,,0
Anchovies,Common,Item,,164,,,0
Anchovy oil,Common,Item,,165,,,0
Anchovy paste,Common,Item,,166,,,0
Anchovy pizza,Rare,Item,,167,,,0
Ancient blessing,Uncommon,Item,,168,,,0
Ancient bracers,Mythic,Item,,169,,,0
Ancient brew,Mythic,Item,,170,,,0
Ancient ceremonial boots,Uncommon,Item,,171,,,0
Ancient ceremonial gloves,Uncommon,Item,,172,,,0
